id,products_data_id,rating,review,review_date,data_cadastro
1,1,Avaliação 4 de 5,"As tintas duram pouco, mas acredito que seja um problema da hp e não só do produto em si.",13 jun. 2025,2025-06-15 04:49:20
2,1,Avaliação 5 de 5,"Muito bom,vou voltar a comprar de novo.",29 mai. 2025,2025-06-15 04:49:22
3,1,Avaliação 5 de 5,Já sou cliente faz tempo.,28 mai. 2025,2025-06-15 04:49:24
4,1,Avaliação 5 de 5,Excelente!.,16 mai. 2025,2025-06-15 04:49:26
5,1,Avaliação 5 de 5,Excelente produto.,28 abr. 2025,2025-06-15 04:49:28
6,1,Avaliação 5 de 5,Funcionando bem.,25 abr. 2025,2025-06-15 04:49:31
7,1,Avaliação 5 de 5,"Comprei para guardar, mas verifiquei que todos são genuínos. Estou avaliando baseado nos cartuchos serem originais. Pois ainda não utilizei nenhum deles.",21 abr. 2025,2025-06-15 04:49:33
8,1,Avaliação 5 de 5,Bom material.,14 mar. 2025,2025-06-15 04:49:35
9,1,Avaliação 5 de 5,Excelente.,16 dez. 2024,2025-06-15 04:49:37
10,1,Avaliação 5 de 5,Bom.,19 nov. 2024,2025-06-15 04:49:39
11,2,Avaliação 5 de 5,A. Melhor marca que existe hp.,15 out. 2024,2025-06-15 04:49:49
12,2,Avaliação 5 de 5,Preço justo e qualidade superior.,17 set. 2024,2025-06-15 04:49:51
13,2,Avaliação 5 de 5,Excelente produto original.,28 mai. 2025,2025-06-15 04:49:53
14,2,Avaliação 5 de 5,Muito bom.,02 mai. 2025,2025-06-15 04:49:56
15,2,Avaliação 5 de 5,"Muito bom, gostei!.",16 abr. 2025,2025-06-15 04:49:58
16,2,Avaliação 5 de 5,Cartucho original é originalmente excelente.,08 mar. 2025,2025-06-15 04:50:00
17,2,Avaliação 5 de 5,Muito bom.,08 mar. 2025,2025-06-15 04:50:02
18,2,Avaliação 5 de 5,Fiz no máximo 20 impressões em modo econômico e a tinta acabou. Não compro mais.,19 fev. 2025,2025-06-15 04:50:04
19,2,Avaliação 5 de 5,Ótimo.,19 fev. 2025,2025-06-15 04:50:06
20,2,Avaliação 5 de 5,Boa compra.,05 fev. 2025,2025-06-15 04:50:08
21,3,Avaliação 4 de 5,"As tintas duram pouco, mas acredito que seja um problema da hp e não só do produto em si.",13 jun. 2025,2025-06-15 04:50:19
22,3,Avaliação 5 de 5,"Muito bom,vou voltar a comprar de novo.",29 mai. 2025,2025-06-15 04:50:21
23,3,Avaliação 5 de 5,Já sou cliente faz tempo.,28 mai. 2025,2025-06-15 04:50:23
24,3,Avaliação 5 de 5,Excelente!.,16 mai. 2025,2025-06-15 04:50:25
25,3,Avaliação 5 de 5,Excelente produto.,28 abr. 2025,2025-06-15 04:50:27
26,3,Avaliação 5 de 5,Funcionando bem.,25 abr. 2025,2025-06-15 04:50:29
27,3,Avaliação 5 de 5,"Comprei para guardar, mas verifiquei que todos são genuínos. Estou avaliando baseado nos cartuchos serem originais. Pois ainda não utilizei nenhum deles.",21 abr. 2025,2025-06-15 04:50:31
28,3,Avaliação 5 de 5,Bom material.,14 mar. 2025,2025-06-15 04:50:33
29,3,Avaliação 5 de 5,Excelente.,16 dez. 2024,2025-06-15 04:50:35
30,3,Avaliação 5 de 5,Bom.,19 nov. 2024,2025-06-15 04:50:37
31,4,Avaliação 5 de 5,Cartucho original é sempre a melhor opção.,04 jun. 2024,2025-06-15 04:50:48
32,4,Avaliação 5 de 5,Muito bom sem defeitos grato.,20 mai. 2024,2025-06-15 04:50:50
33,4,Avaliação 5 de 5,Pouca tinta.,15 jul. 2024,2025-06-15 04:50:52
34,4,Avaliação 4 de 5,2ml é muito pouco … hp devia por mais tinta.,01 jun. 2025,2025-06-15 04:50:54
35,4,Avaliação 5 de 5,Pena que são apenas 2ml.,26 jul. 2024,2025-06-15 04:50:57
36,4,Avaliação 4 de 5,"Preciso de mais tempo para avaliar o produto, principalmente no quesito durabilidade.",19 jun. 2024,2025-06-15 04:50:59
37,4,Avaliação 5 de 5,"Muito bom, produto de ótima qualidade!.",04 jun. 2024,2025-06-15 04:51:01
38,4,Avaliação 5 de 5,Produto original.,13 mai. 2025,2025-06-15 04:51:03
39,4,Avaliação 5 de 5,"Produto bom, só acaba muito rápido 😭.",14 jun. 2025,2025-06-15 04:51:05
40,4,Avaliação 5 de 5,Vou testar e voltarei.,09 mai. 2025,2025-06-15 04:51:07
41,5,Avaliação 4 de 5,"Não presta, falsificado. Acabou depois 30 cópias.",04 mar. 2025,2025-06-15 04:51:18
42,5,Avaliação 4 de 5,Acaba rápido.,04 fev. 2025,2025-06-15 04:51:20
43,5,Avaliação 5 de 5,"Produto de ótima qualidade, recomendo muito bom amei! 😍♥️.",25 jun. 2024,2025-06-15 04:51:22
